iter	Passed	Remaining
571	855	639
572	856	638
573	857	636
574	859	635
575	860	633
576	862	632
577	863	630
578	864	628
579	866	627
580	867	625
581	869	624
582	870	622
583	871	620
584	872	619
585	873	617
586	875	615
587	877	614
588	879	613
589	880	612
590	881	610
591	883	608
592	884	606
593	885	605
594	886	603
595	887	601
596	888	600
597	890	598
598	892	597
599	894	596
600	895	594
601	896	592
602	897	591
603	898	589
604	900	587
605	901	585
606	902	584
607	903	582
608	904	580
609	907	580
610	909	578
611	910	577
612	911	575
613	913	573
614	914	572
615	915	570
616	916	568
617	917	567
618	919	565
619	924	566
620	925	564
621	926	563
622	928	561
623	929	560
624	930	558
625	932	556
626	933	555
627	935	553
628	937	552
629	938	551
630	940	550
631	942	548
632	943	547
633	945	545
634	946	543
635	947	542
636	951	542
637	954	541
638	955	539
639	957	538
640	958	536
641	959	535
642	961	533
643	962	532
644	965	531
645	966	529
646	968	528
647	969	526
648	970	525
649	972	523
650	974	522
651	976	521
652	977	519
653	982	519
654	984	518
655	986	517
656	987	515
657	988	513
658	989	512
659	990	510
660	992	508
661	993	507
662	996	506
663	997	504
664	998	503
665	999	501
666	1000	499
667	1002	498
668	1003	496
669	1005	495
670	1006	493
671	1007	491
672	1010	490
673	1011	489
674	1012	487
675	1013	485
676	1014	484
677	1017	483
678	1018	481
679	1019	479
680	1020	478
681	1025	478
682	1027	476
683	1028	475
684	1033	475
685	1037	474
686	1041	474
687	1044	473
688	1045	471
689	1046	470
690	1047	468
691	1048	466
692	1050	465
693	1051	463
694	1052	461
695	1054	460
696	1058	460
697	1062	459
698	1063	458
699	1065	456
700	1067	455
701	1072	455
702	1073	453
703	1075	452
704	1076	450
705	1077	448
706	1078	447
707	1079	445
708	1080	443
709	1081	441
710	1085	441
711	1087	439
712	1088	437
713	1089	436
714	1090	434
715	1091	432
716	1092	431
717	1093	429
718	1094	427
719	1095	426
720	1097	424
721	1101	424
722	1102	422
723	1104	421
724	1105	419
725	1106	417
726	1108	416
727	1109	414
728	1111	413
729	1112	411
730	1114	409
731	1115	408
732	1116	406
733	1117	405
734	1119	403
735	1120	401
736	1121	400
737	1123	398
738	1124	397
739	1125	395
740	1127	393
741	1128	392
742	1130	391
743	1132	389
744	1133	388
745	1134	386
746	1136	384
747	1137	383
748	1139	381
749	1140	380
750	1143	379
751	1144	377
752	1145	375
753	1147	374
754	1148	372
755	1150	371
756	1151	369
757	1153	368
758	1154	366
759	1155	364
760	1158	363
761	1159	362
762	1161	360
763	1162	359
764	1163	357
765	1165	355
766	1166	354
767	1167	352
768	1168	351
769	1169	349
770	1171	347
771	1173	346
772	1174	344
773	1175	343
774	1176	341
775	1177	339
776	1179	338
777	1180	336
778	1182	335
779	1183	333
780	1184	332
781	1185	330
782	1187	329
783	1188	327
784	1189	325
785	1192	324
786	1193	323
787	1194	321
788	1195	319
789	1196	318
790	1197	316
791	1198	314
792	1200	313
793	1201	311
794	1202	310
795	1205	308
796	1206	307
797	1208	305
798	1210	304
799	1211	302
800	1212	301
801	1213	299
802	1214	298
803	1216	296
804	1218	295
805	1219	293
806	1221	292
807	1222	290
808	1223	288
809	1224	287
810	1226	285
811	1227	284
812	1229	282
813	1232	281
814	1233	280
815	1234	278
816	1235	276
817	1237	275
818	1238	273
819	1239	272
820	1240	270
821	1241	268
822	1242	267
823	1246	266
824	1247	264
825	1248	262
826	1249	261
827	1250	259
828	1251	258
829	1253	256
830	1254	255
831	1255	253
832	1256	251
833	1257	250
834	1260	249
835	1262	247
836	1263	246
837	1264	244
838	1266	242
839	1268	241
840	1269	240
841	1270	238
842	1274	237
843	1277	236
844	1279	234
845	1280	233
846	1281	231
847	1282	229
848	1284	228
849	1285	226
850	1289	225
851	1290	224
852	1291	222
853	1293	221
854	1294	219
855	1295	217
856	1297	216
857	1299	215
858	1300	213
859	1302	211
860	1303	210
861	1305	208
862	1306	207
863	1307	205
864	1308	204
865	1309	202
866	1311	201
867	1313	199
868	1315	198
869	1320	197
870	1321	195
871	1322	194
872	1323	192
873	1325	191
874	1328	189
875	1329	188
876	1330	186
877	1331	185
878	1333	183
879	1334	181
880	1335	180
881	1336	178
882	1339	177
883	1340	175
884	1341	174
885	1342	172
886	1343	171
887	1344	169
888	1345	168
889	1348	166
890	1349	165
891	1350	163
892	1351	161
893	1352	160
894	1353	158
895	1355	157
896	1356	155
897	1357	154
898	1358	152
899	1359	151
900	1361	149
901	1363	148
902	1365	146
903	1366	145
904	1367	143
905	1368	142
906	1370	140
907	1371	138
908	1372	137
909	1373	135
910	1374	134
911	1380	133
912	1381	131
913	1383	130
914	1384	128
915	1385	127
916	1386	125
917	1387	123
918	1388	122
919	1389	120
920	1391	119
921	1394	117
922	1395	116
923	1396	114
924	1397	113
925	1398	111
926	1400	110
927	1401	108
928	1402	107
929	1403	105
930	1404	104
931	1406	102
932	1408	101
933	1409	99
934	1410	98
935	1411	96
936	1412	94
937	1413	93
938	1414	91
939	1415	90
940	1419	88
941	1421	87
942	1422	86
943	1423	84
944	1425	82
945	1426	81
946	1427	79
947	1428	78
948	1429	76
949	1431	75
950	1433	73
951	1435	72
952	1437	70
953	1439	69
954	1443	68
955	1445	66
956	1446	65
957	1447	63
958	1449	61
959	1450	60
960	1452	58
961	1453	57
962	1454	55
963	1455	54
964	1457	52
965	1459	51
966	1460	49
967	1462	48
968	1464	46
969	1466	45
970	1468	43
971	1471	42
972	1473	40
973	1474	39
974	1476	37
975	1480	36
976	1481	34
977	1483	33
978	1486	31
979	1488	30
980	1490	28
981	1491	27
982	1495	25
983	1497	24
984	1499	22
985	1501	21
986	1502	19
987	1503	18
988	1504	16
989	1506	15
990	1507	13
991	1511	12
992	1513	10
993	1514	9
994	1516	7
995	1517	6
996	1519	4
997	1521	3
998	1522	1
999	1524	0
